sport,logo,source
アーチェリー,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Archery_pictogram_%28Paralympics%29.svg/1920px-Archery_pictogram_%28Paralympics%29.svg.png,
陸上競技,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Athletics_pictogram_%28Paralympics%29.svg/1920px-Athletics_pictogram_%28Paralympics%29.svg.png,
Dartchery,,
スヌーカー,,
水泳,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Swimming_pictogram_%28Paralympics%29.svg/1920px-Swimming_pictogram_%28Paralympics%29.svg.png,
卓球,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Table_tennis_pictogram_%28Paralympics%29.svg/1920px-Table_tennis_pictogram_%28Paralympics%29.svg.png,
車いすバスケットボール,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Wheelchair_basketball_pictogram_%28Paralympics%29.svg/1920px-Wheelchair_basketball_pictogram_%28Paralympics%29.svg.png,
車いすフェンシング,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Wheelchair_fencing_pictogram_%28Paralympics%29.svg/1920px-Wheelchair_fencing_pictogram_%28Paralympics%29.svg.png,
重量挙げ,,
ローンボウルズ,,
ゴールボール,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Goalball_pictogram_%28Paralympics%29.svg/1920px-Goalball_pictogram_%28Paralympics%29.svg.png,
射撃,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Shooting_pictogram_%28Paralympics%29.svg/1920px-Shooting_pictogram_%28Paralympics%29.svg.png,
バレーボール,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Sitting_volleyball_pictogram_%28Paralympics%29.svg/1920px-Sitting_volleyball_pictogram_%28Paralympics%29.svg.png,
レスリング,,
ボッチャ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Boccia_pictogram_%28Paralympics%29.svg/1920px-Boccia_pictogram_%28Paralympics%29.svg.png,
サイクリング,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cycling_%28road%29_pictogram_%28Paralympics%29.svg/1920px-Cycling_%28road%29_pictogram_%28Paralympics%29.svg.png,
馬術,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Equestrian_pictogram.svg/1920px-Equestrian_pictogram.svg.png,
脳性麻痺7人制サッカー,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Football_7-a-side_pictogram_%28Paralympics%29.svg/1920px-Football_7-a-side_pictogram_%28Paralympics%29.svg.png,
パワーリフティング,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Powerlifting_pictogram_%28Paralympics%29.svg/1920px-Powerlifting_pictogram_%28Paralympics%29.svg.png,
柔道,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Judo_pictogram_%28Paralympics%29.svg/1920px-Judo_pictogram_%28Paralympics%29.svg.png,
車いすテニス,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Wheelchair_tennis_pictogram_%28Paralympics%29.svg/1920px-Wheelchair_tennis_pictogram_%28Paralympics%29.svg.png,
バスケットボールID,,
Indoor Football,,
ラケットボール,,
セーリング,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Sailing_pictogram.svg/1920px-Sailing_pictogram.svg.png,
ウィルチェアーラグビー,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Wheelchair_rugby_pictogram_%28Paralympics%29.svg/1920px-Wheelchair_rugby_pictogram_%28Paralympics%29.svg.png,
脳性麻痺5人制サッカー,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Football_5-a-side_pictogram_%28Paralympics%29.svg/1920px-Football_5-a-side_pictogram_%28Paralympics%29.svg.png,
ローイング,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Rowing_pictogram_%28Paralympics%29.svg/1920px-Rowing_pictogram_%28Paralympics%29.svg.png,
サイクリング(道路),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cycling_%28road%29_pictogram_%28Paralympics%29.svg/1920px-Cycling_%28road%29_pictogram_%28Paralympics%29.svg.png,
トラックレース,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Cycling_%28track%29_pictogram_%28Paralympics%29.svg/1920px-Cycling_%28track%29_pictogram_%28Paralympics%29.svg.png,
障害者カヌー,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Paracanoe_pictogram_%28Paralympics%29.svg/1920px-Paracanoe_pictogram_%28Paralympics%29.svg.png,
パラトライアスロン,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Triathlon_pictogram.svg/1920px-Triathlon_pictogram.svg.png,